Condition,Kras,wt,cassette,esr1y,esr1,set,tiempo,,,,,,,
0.492,0,0,0,1,0,1,3,,,,,,,
0.758,0,0,0,1,0,1,3,,,,,,,
1.000,0,0,0,1,0,0,0,,,,,,,
1.000,0,0,0,1,0,0,0,,,,,,,
1.000,0,0,0,1,0,0,0,,,,,,,
1.000,0,0,0,1,0,0,0,,,,,,,
1.000,0,0,0,1,0,0,0,,,,,,,
1.000,0,0,0,1,0,0,0,,,,,,,
1.000,0,0,0,1,0,0,0,,,,,,,
1.000,0,0,0,1,0,0,0,,,,,,,
1.000,0,0,0,1,0,0,0,,,,,,,
0.988,0,0,0,1,0,0,1,,,,,,,
0.963,0,0,0,1,0,0,1,,,,,,,
0.790,0,0,0,1,0,0,1,,,,,,,
0.929,0,0,0,1,0,0,1,,,,,,,
0.948,0,0,0,1,0,0,1,,,,,,,
0.944,0,0,0,1,0,0,1,,,,,,,
0.914,0,0,0,1,0,0,1,,,,,,,
0.946,0,0,0,1,0,0,1,,,,,,,
0.950,0,0,0,1,0,0,1,,,,,,,
0.986,0,0,0,1,0,0,2,,,,,,,
0.983,0,0,0,1,0,0,2,,,,,,,
0.928,0,0,0,1,0,0,2,,,,,,,
0.974,0,0,0,1,0,0,2,,,,,,,
0.939,0,0,0,1,0,0,2,,,,,,,
0.895,0,0,0,1,0,0,2,,,,,,,
0.923,0,0,0,1,0,0,2,,,,,,,
0.939,0,0,0,1,0,0,2,,,,,,,
0.844,0,0,0,1,0,0,3,,,,,,,
0.603,0,0,0,1,0,0,3,,,,,,,
0.583,0,0,0,1,0,0,3,,,,,,,
0.646,0,0,0,1,0,0,3,,,,,,,
0.594,0,0,0,1,0,0,3,,,,,,,
0.467,0,0,0,1,0,0,3,,,,,,,
0.363,0,0,0,1,0,0,3,,,,,,,
0.575,0,0,0,1,0,0,3,,,,,,,
0.604,0,0,0,1,0,0,3,,,,,,,
0.524,0,0,0,1,0,0,3,,,,,,,
